"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"44",2016-11-01,"Tuesday",385,602,210,150,NA,535,-67,240,84,86,61,50,"Rain",0.001,0,72,10,"Fall","0","11",120.714285714286,116.666666666667,60,59.4,74,58,79,86,-0.133054135934495,0.303659956353834,0.0779983853611272,0.583581592331329,-0.0776222793814696,-0.458111849837058,-0.0950022937935527,-0.14273096756969,-0.984435126418303,-1.15869565270369,-0.925368503823373,-0.900145888348331,-1.10013578173611,-1.20905922130234,77
"45",2016-11-02,"Wednesday",449,623,180,150,NA,599,-24,135,86,105,66,52,"Rain",0.05,0,73,9,"Fall","0","11",120.142857142857,80.3333333333333,86,71.4,81,75,96,105,0.167263552401066,0.487593888580878,0.158972185967638,0.335429151842226,-0.0776222793814696,-0.273352935933233,-0.108031199340441,-0.828225862007259,-0.583334289712661,-0.943611581375392,-0.800604447420919,-0.596158771081903,-0.807477139426051,-0.895735683570272,89
"46",2016-11-03,"Thursday",494,625,135,105,NA,599,-26,135,112,134,64,47,"Fog",0,0,79,3,"Fall","0","11",125.285714285714,83.6666666666667,105,57.75,48.5,0,106.25,134,0.0471364770668413,0.027759058013268,0.644814989606706,-1.15348549109239,-0.0776222793814696,-0.461882439916727,0.0092289505815565,-0.765336422150601,-0.290222139812384,-1.18826971251134,-1.37986613786088,-1.93727840608085,-0.631021193327338,-0.417505020716059,107
"47",2016-11-04,"Friday",465,597,135,105,NA,570,-27,150,164,210,69,45,"Fog",0,0,76,9,"Fall","0","11",126.428571428571,108.333333333333,134,139.25,155,75,219.25,247,0.347454165402403,-0.156174874213776,0.401893587787172,0.335429151842226,-0.0776222793814696,-0.461882439916727,0.0352867616753336,-0.299954567211334,0.157159562666987,0.272509605260046,0.518329863119305,-0.596158771081903,1.3142980173219,1.44594549316415,184
"48",2016-11-05,"Saturday",360,519,165,120,NA,480,-39,195,156,110,58,53,"Rain",1.06,0,86,10,"Fall","0","11",126.428571428571,149.666666666667,210,157.75,166.5,143.75,180.5,188,-0.313244748935832,0.5795608546944,1.21163159385228,0.583581592331329,-0.0776222793814696,3.53494304453335,0.0352867616753336,0.479874487011221,1.32960816226809,0.604097548557844,0.723299384351907,0.633200894333799,0.647208464997491,0.47299345494351,125
"49",2016-11-06,"Sunday",370,475,105,120,NA,490,15,150,106,140,62,51,"Overcast",0,0,77,8,"Fall","0","11",114.285714285714,151.333333333333,110,101.75,101,89,113.75,140,-0.0729905982673832,0.395626922467356,0.482867388393683,0.0872767113531228,-0.0776222793814696,-0.461882439916727,-0.241577481196049,0.51131920693955,-0.213087363522837,-0.399628117640896,-0.44413571484248,-0.345816439215433,-0.50190708642584,-0.318560745642774,130
"50",2016-11-07,"Monday",350,533,180,180,NA,530,-3,165,87,71,63,53,"Overcast",0,0,73,8,"Fall","0","11",120.714285714286,153.333333333333,140,83.5,83,69,97.5,105,-0.0129270606002709,0.5795608546944,0.158972185967638,0.0872767113531228,-0.0776222793814696,-0.461882439916727,-0.0950022937935527,0.549052870853545,0.249721294214443,-0.726735142786021,-0.764957574163075,-0.703448341881819,-0.781654318045752,-0.895735683570272,84
"51",2016-11-08,"Tuesday",459,602,150,210,NA,669,67,45,84,0,68,46,"Overcast",0,0,73,7,"Fall","1","11",122.285714285714,107,71,59.4,74,58,79,86,0.287390627735291,-0.064207908100254,0.158972185967638,-0.16087572913598,-0.0776222793814696,-0.461882439916727,-0.0591728035396087,-0.325110343153997,-0.814738618581301,-1.15869565270369,-0.925368503823373,-0.900145888348331,-1.10013578173611,-1.20905922130234,34
"52",2016-11-09,"Wednesday",669,623,0,0,NA,669,46,45,86,0,66,52,"Rain",0.06,0,87,6,"Fall","0","11",110,70.3333333333333,0,71.4,81,75,96,105,0.167263552401066,0.487593888580878,1.2926053944588,-0.409028169625083,-0.0776222793814696,-0.235647035136534,-0.339294272797714,-1.01689418157723,-1.91005244189286,-0.943611581375392,-0.800604447420919,-0.596158771081903,-0.807477139426051,-0.895735683570272,35
"53",2016-11-10,"Thursday",669,625,0,105,-69,705,80,0,112,0,68,46,"Fog",0,0,79,6,"Fall","0","11",95,23.6666666666667,0,57.75,48.5,0,106.25,134,0.287390627735291,-0.064207908100254,0.644814989606706,-0.409028169625083,-0.0776222793814696,-0.461882439916727,-0.68130304340354,-1.89734633957044,-1.91005244189286,-1.18826971251134,-1.37986613786088,-1.93727840608085,-0.631021193327338,-0.417505020716059,27
