"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"45",2016-11-02,"Wednesday",449,623,180,150,NA,599,-24,135,86,105,66,52,"Rain",0.05,0,73,9,"Fall","0","11",120.142857142857,80.3333333333333,86,65.6875,72,22.5,105,128,0.167263552401066,0.487593888580878,0.158465335266959,0.335429151842226,-0.0776222793814696,-0.273352935933233,-0.0306246688259496,-0.710527913541306,-0.503729894379735,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,104
"46",2016-11-03,"Thursday",494,625,135,105,NA,599,-26,135,112,134,64,47,"Fog",0,0,79,3,"Fall","0","11",125.285714285714,83.6666666666667,105,73.7333333333333,97,0,120.5,157,0.0471364770668413,0.027759058013268,0.64405750205016,-1.15348549109239,-0.0776222793814696,-0.461882439916727,0.0782944766520231,-0.65133903353754,-0.222577431585002,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,125
"47",2016-11-04,"Friday",465,597,135,105,NA,570,-27,150,164,210,69,45,"Fog",0,0,76,9,"Fall","0","11",126.428571428571,108.333333333333,134,126.9375,148.5,48,196.5,270,0.347454165402403,-0.156174874213776,0.40126141865856,0.335429151842226,-0.0776222793814696,-0.461882439916727,0.102498731202684,-0.213341321509676,0.20655001162801,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,203
"48",2016-11-05,"Saturday",360,519,165,120,NA,480,-39,195,156,110,58,53,"Rain",1.06,0,86,10,"Fall","0","11",126.428571428571,149.666666666667,210,146.9375,166.5,128,188.5,238,-0.313244748935832,0.5795608546944,1.21058169663056,0.583581592331329,-0.0776222793814696,3.53494304453335,0.102498731202684,0.520600790537015,1.33115986280694,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,133
"49",2016-11-06,"Sunday",370,475,105,120,NA,490,15,150,106,140,62,51,"Overcast",0,0,77,8,"Fall","0","11",114.285714285714,151.333333333333,110,99,98.5,80,120,200,-0.0729905982673832,0.395626922467356,0.48219344645576,0.0872767113531228,-0.0776222793814696,-0.461882439916727,-0.154671473398085,0.550195230538898,-0.148589941375862,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,130
"50",2016-11-07,"Monday",350,533,180,180,NA,530,-3,165,87,71,63,53,"Overcast",0,0,73,8,"Fall","0","11",120.714285714286,153.333333333333,140,74.0625,75.5,62.25,95,135,-0.0129270606002709,0.5795608546944,0.158465335266959,0.0872767113531228,-0.0776222793814696,-0.461882439916727,-0.0185225415506194,0.585708558541158,0.295334999878978,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,86
"51",2016-11-08,"Tuesday",459,602,150,210,NA,669,67,45,84,0,68,46,"Overcast",0,0,73,7,"Fall","1","11",122.285714285714,107,71,69.1875,79.5,59.5,91,120,0.287390627735291,-0.064207908100254,0.158465335266959,-0.16087572913598,-0.0776222793814696,-0.461882439916727,0.0147583084565391,-0.237016873511182,-0.725692365007155,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,108
"52",2016-11-09,"Wednesday",669,623,0,0,NA,669,46,45,86,0,66,52,"Rain",0.06,0,87,6,"Fall","0","11",110,70.3333333333333,0,65.6875,72,22.5,105,128,0.167263552401066,0.487593888580878,1.29151372442776,-0.409028169625083,-0.0776222793814696,-0.235647035136534,-0.245437427963062,-0.888094553552602,-1.77631472597694,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,100
"53",2016-11-10,"Thursday",669,625,0,105,-69,705,80,0,112,0,68,46,"Fog",0,0,79,6,"Fall","0","11",95,23.6666666666667,0,73.7333333333333,97,0,120.5,157,0.287390627735291,-0.064207908100254,0.64405750205016,-0.409028169625083,-0.0776222793814696,-0.461882439916727,-0.563118268940482,-1.71673887360532,-1.77631472597694,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,123
"54",2016-11-11,"Friday",705,597,0,0,NA,705,108,-15,164,247,63,51,"Rain",0.001,0,80,4,"Fall","1","11",75.8571428571429,0,0,126.9375,148.5,48,196.5,270,-0.0129270606002709,0.395626922467356,0.724989529847361,-0.905333050603289,-0.0776222793814696,-0.458111849837058,-0.968539532664046,-2.13697992163205,-1.77631472597694,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,206
"55",2016-11-12,"Saturday",458,519,60,75,NA,533,14,105,156,188,64,49,"Rain",0.07,0,71,10,"Fall","0","11",81.1428571428571,82.3333333333333,247,146.9375,166.5,128,188.5,238,0.0471364770668413,0.211692990240312,-0.00339872032744186,0.583581592331329,-0.0776222793814696,-0.197941134339836,-0.856594855367241,-0.675014585539047,1.87866729035457,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,180
